Site	Weighted_Copy_PC	Type	Order	Weighted_Copy_rrn
C06	2.006819459	FireAffected	2	1.806137513
C09	1.598805649	FireAffected	2	1.438925084
C10	1.586794462	FireAffected	2	1.428115016
C11	2.037832825	FireAffected	2	1.426482978
C12	2.859698538	FireAffected	2	2.001788977
C13	1.864257747	FireAffected	2	1.304980423
C14	1.741437278	FireAffected	2	1.219006095
C15	3.398625582	FireAffected	2	2.379037907
C16	1.986940221	FireAffected	2	1.390858155
C02	2.238244233	Recovered	3	1.566770963
C03	1.98114471	Recovered	3	1.386801297
C04	4.111177064	Recovered	3	2.877823945
C05	1.939710995	Recovered	3	1.357797697
C07	1.949710591	Recovered	3	1.364797414
C1	2.388749047	Recovered	3	2.890386347
C18	2.084302401	Recovered	3	2.522005905
C08	6.001697839	Reference	1	7.262054385
C17	2.240081655	Reference	1	2.710498803
C06	2.006819459	FireAffected	2	2.428251545
C09	1.598805649	FireAffected	2	1.934554835
C10	1.586794462	FireAffected	2	1.920021299
C11	2.037832825	FireAffected	2	2.465777718
C12	2.859698538	FireAffected	2	3.460235231
C13	1.864257747	FireAffected	2	2.796386621
C14	1.741437278	FireAffected	2	2.612155917
C15	3.398625582	FireAffected	2	5.097938373
C16	1.986940221	FireAffected	2	2.980410332
C02	2.238244233	Recovered	3	1.969654925
C03	1.98114471	Recovered	3	1.743407345
C04	4.111177064	Recovered	3	3.617835816
C05	1.939710995	Recovered	3	1.706945676
C07	1.949710591	Recovered	3	1.71574532
C1	2.388749047	Recovered	3	2.102099161
C18	2.084302401	Recovered	3	1.834186113
C08	6.001697839	Reference	1	6.061714817
C17	2.240081655	Reference	1	2.262482472
C06	2.006819459	FireAffected	2	2.026887654
C09	1.598805649	FireAffected	2	1.614793705
C10	1.586794462	FireAffected	2	1.507454739
C11	2.037832825	FireAffected	2	1.935941184
C12	2.859698538	FireAffected	2	2.716713611
C13	1.864257747	FireAffected	2	1.77104486
C14	1.741437278	FireAffected	2	1.654365414
C15	3.398625582	FireAffected	2	3.398625582
C16	1.986940221	FireAffected	2	1.986940221
C02	2.238244233	Recovered	3	2.238244233
C03	1.98114471	Recovered	3	1.98114471
C04	4.111177064	Recovered	3	4.727853624
C05	1.939710995	Recovered	3	2.230667644
C07	1.949710591	Recovered	3	2.24216718
C1	2.388749047	Recovered	3	5.780772694
C18	2.084302401	Recovered	3	5.04401181
C08	6.001697839	Reference	1	2.520713092
C17 	2.240081655	Reference	1	5.420997605
